Agency,Reason Rejected
"יש נדל""ן (Yesh Nadlan)","Has a fully built, modern professional website (yeshnadlan.co.il) with listings, about page, sold-price data — Good website, reject."
"Nadlan TLV (נדל""ן TLV)","Has an active professional website (nadlantlv.co.il) plus an X/Twitter presence — Good website, reject."
ג'וזף תיווך יפו תל אביב,"Has an official website (joseph-real.co.il) with property listings, Instagram, and business email — Good website, reject."
תיווך לב תל אביב / Lev TLV,"Operates under levtlv.co.il, a polished boutique luxury-brokerage website — Good website, reject."
אלטשולר ניהול נכסים,"30-year-old firm with an established website (telavivit.co.il / altlv.co.il) — Good website, reject."
"סורלה קטורזה נדל""ן / נכסים","Has a dedicated boutique-agency website (sorelakatorza.com) — Good website, reject."
"ישראהום נדל""ן (Sarit Yaakovi)","30-year family agency with an active website (israhome.co.il) — Good website, reject."
"זמיר נדל""ן","Has a full website (zamirnadlan.co.il) and is actually headquartered/focused on Holon, not primarily Tel Aviv or Ramat Gan — Good website + wrong core city, reject."
Nehasim - נכסים (Givatayim),"Has an active website (nehasim.net) with blog content and listings — Good website, reject."
"אופק נדל""ן (Tel Baruch)","18-year-old agency with a full website (ofeknadlan.co.il) — Good website, reject."
"חגית סוכנות נדל""ן","Actually headquartered in Petach Tikva, not Tel Aviv/Ramat Gan as the name implied — wrong city, reject."
Real4U (שירה פרנקל),"Has an established website (real4u.co.il) with active project pages — Good website, reject."
Open House (בית פתוח) Tel Aviv,"Full professional website (open-house.co.il) with team page, testimonials, blog — Good website, reject."
טינר בן דוד (Ramat Gan/Givatayim),"Has a professional personal-brand website (tinar.co.il) plus YouTube/Instagram — Good website, reject."
טלי עמית / LIVIN (Ramat Gan),"Profile is hosted and marketed on a professional agency website (livin.co.il) with testimonials — Good website, reject."
"רובין נכסים (Yaki Rubin, Ramat Gan/Givatayim)","Has an active company website (rubinholdings.com) — Good website, reject."
"ירדני נדל""ן מרום נווה (Ramat Gan)","35-year agency with a full multi-page website (yardeninadlan.com) — Good website, reject."
לידרס נדלן,"Actually headquartered and focused on Herzliya, not Ramat Gan/Tel Aviv, and has a professional website (a-leaders.co.il) — wrong city + good website, reject."
אדוה תיווך עם חיוך (Givatayim),"Has a dedicated website (adva-koren.com) — Good website, reject."
"רומנו מזרחי תיווך ושיווק נדל""ן (Givatayim)","Has a dedicated company website (romanomizrahi.com) — Good website, reject."
"Expert שיווק נדל""ן (Barak Brenner, Ramat Gan)","Has an active project-marketing website (barak-nadlan.com) — Good website, reject; also primarily a project-marketing firm rather than a residential brokerage with an owner's own listing flow."
RE/MAX Win Tel Aviv,"National RE/MAX franchise — has corporate website and brand infrastructure; also decision authority sits with franchise/corporate, not an accessible independent owner."
אנגלו סכסון רמת גן וגבעתיים,National Anglo-Saxon franchise with an established corporate website and brand — not an independent prospect fitting the ICP.
Yokra Estate (יוקרה אסטייט),Nationwide luxury brokerage brand/network rather than a single accessible independent owner in Tel Aviv/Ramat Gan; insufficient evidence of a single decision-maker to approach.
IamHome TLV,No individual owner/lead-agent name could be verified after available research; scored below the 65-point qualification threshold on decision-authority evidence.
"T.A נכסים ויזמות נדל""ן (Ramat Gan/Givatayim/Tel Aviv)","Facebook page confirms active listings across all three cities, but no individual owner/lead-agent name surfaced and remaining research budget was exhausted before deeper verification was possible; scored below the 65-point threshold on decision-authority evidence."
רפי נכסים (Ramat Gan),"Has an active website (rafinadlan.com) — Good website, reject."
L&D נכסים,"Based in Bnei Brak, not Tel Aviv or Ramat Gan — wrong city, reject."
סטוקהאוס נכסים (Ramat Gan),Facebook page located but returned no usable About/website/activity data before the session's web-search budget was exhausted — insufficient public info to verify against the ICP criteria.
המתווכים • תיווך • דרום תל אביב,"Facebook page located but content was inaccessible (truncated) and no independent verification of ownership, activity or website status could be completed — insufficient public info to verify."
גלובל נכסים - גבעתיים - רמת גן,Facebook page could not be loaded/verified (mobile link returned an error page) — insufficient public info to verify.
"מאגרי - סוכן נדל""ן",Appears to be an individual post/photo rather than an active business Page; insufficient evidence of an ongoing independent agency to qualify.
דירות בתל אביב ללא תיווך / RentinTLV / tlvrent (Facebook groups),"These are public discussion/classifieds groups, not real estate agency business pages — not a prospect."
"קהילת מתווכי הנדל""ן, מתווכים עם דרך ארץ","A professional community/discussion group, not a single agency or agent to approach."
אליעזר נכסים (Eliezer Nechasim) - Beit Shemesh,"Good website — REJECT (modern, professional, eliezer-nechasim.co.il)"
"פיור נדל""ן (Pure Nadlan) - Lod/Ramla","Good website — REJECT (modern, professional, purenadlan.co.il; also covers Amir Levi, an agent under this agency)"
"פסגות נדל""ן (Psagot) - Beit Shemesh","Good website — REJECT (modern, professional, psagotreal-estate.co.il)"
אור נכסים (Or Nechasim) - Ramla,"Good website — REJECT (or-n.co.il, 452 listings, multi-branch Shfela network)"
"H נדל""ן (H Nadlan) - Beit Shemesh","Good website — REJECT (hnadlan.co.il, 4-branch growing network)"
"נדל""ן פלוס (Nadlan Plus / RBS Realty) - Beit Shemesh","Good website — REJECT (nadlan-p.com, ~20-agent leading Beit Shemesh brokerage)"
Lemkin Realty - Beit Shemesh,"Good website — REJECT (aliyahrealty.com, 24+ year Anglo agency, 1,847 FB likes)"
"נדל""ן פרו (Nadlan Pro / אליה נזרי) - Lod-adjacent","Good website — REJECT (nadlan-pro.co.il); also actually headquartered in Tel Aviv, not a Lod-based operation"
Legacy Nadlan - Ramla,"No identifiable owner/decision-maker name found after multiple searches (Facebook, Yad2, Instagram all anonymous business-only) — cannot verify decision authority"
"W נדל""ן - Beit Shemesh","Strong activity signal (23+ reviews across 5 platforms, 4.5-5 star ratings, team of agents, no website) but no identifiable owner/manager name found anywhere — dropped rather than invent a contact name"
Nadlan2me - Beit Shemesh,"Address/phone consistently point to Beit Shemesh across several directories, but one Facebook search result tied the same brand name to a Rehovot page — dropped for city-attribution/data-mixing risk"
פלא נדלן (Pele Nadlan) - Lod,"Facebook page has only 4 likes / 1 talking about this — inactive, too small"
נדלנה (Nadlana) - Lod,Facebook page has only 2 likes / 1 talking about this — essentially inactive marketing presence
תיווך פנחס (Tivuch Pinhas) - Lod,Facebook posts stale since 2023 — inactive
"שבי שניאורסון - נדל""ן (Shevi Shneorson) - Lod","Conflicting sources: one describes her as a ""former"" Anglo-Saxon Lod franchisee, another (appcardpro.co.il) describes her as a current Anglo-Saxon franchise partner since 2012 — could not verify independent (non-franchise) status with confidence"
רון אלגרבלי (Ron Elgrably) - Lod,"Operates under the Anglo-Saxon franchise network, which maintains an established website"
מנחם אלתר (Menachem Alter) - Beit Shemesh,"Insufficient verifiable evidence of listing volume, agency scale, or branded Facebook marketing presence"
יוסי ליפש נכסים (Yossi Lipsh) - Beit Shemesh,"20+ years tenure and 5.0 rating, but no dedicated Facebook/social page could be found — fails the marketing/branding ICP criterion"
Century 21 Sunrise - Beit Shemesh,Franchise branch operating via the century21.co.il portal; no individual branch owner/manager could be identified
אל הנכס בית שמש (Al HaNeches) - Beit Shemesh,Branch of a national franchise network (18+ branches) with an established website (el-haneches.co.il)
"אילן יועצי נדל""ן והשקעות (Ilan Real Estate) - Beit Shemesh","Has an established website (ilanrealestate.com), established 2000"
יגאל נכסים (Yigal Realty) - Beit Shemesh,"Self-described ""largest brokerage in Beit Shemesh"" with a modern, professional website (yigalrealty.com)"
לירון קטן / צוות לירון קטן (Liron Katan) - Beit Shemesh,RE/MAX franchise affiliate with an existing global.remax.com agent profile page
"Asfaw Getu / AG נדל""ן - Beit Shemesh",Went independent only in April 2024 (previously 2 years at RE/MAX); Facebook page has just 23 likes — too new/junior
אבי אביזוב (Avi Abizov) - Ramla,Only a personal Facebook profile found (no business page with engagement); insufficient verifiable marketing/activity evidence
דיפסי אחמד (Dipsy Ahmad) - Lod,No Facebook page or independent activity evidence found beyond a single Yellow Pages listing
"ס.ב.תיווך נדל""ן - Lod","No owner name, no Facebook business page, and no reviews found — insufficient verifiable activity"
צבי לזר נכסים (Tzvi Lazer) - Beit Shemesh,"Company registration dated 2024 — too new to verify established deal flow, despite an owner name being available"
תיווך לילך יוסף יחזקאל - Ramla,"Thin evidence (small Facebook page, no follower/activity data); risk of confusion with an unrelated same-first-name ""Lilach"" brokerage in a different city"
יוסי תיווך (Yossi Tivuch) - Ramla,Owner's full name could not be identified; thin activity evidence
מניבים ישראל (Menivim) - Beit Shemesh,Not a local agency — a national commercial real-estate listings platform
KEY HOUSE (Eilat),"Good website — REJECT (do not include these): keyhouseeilat.co.il is a modern, professionally designed, fully functional site with testimonials, catalog, and branding."
תיווך נשיא נדלן (Eilat),"Score 67, below the 68 floor — small Facebook following (665 likes) and IG (47 followers), no verifiable listing-volume evidence beyond a couple of posts."
A.M נכסים והשקעות (Tiberias),"Score ~66, below the 68 floor — modest Facebook presence (119-165 likes across page variants), limited verifiable activity evidence beyond directory boilerplate."
"רותם מנשה שמאות מקרקעין ושירותי נדל""ן (Tiberias)","Primarily a land appraiser (שמאי מקרקעין), not an active listing agent with a property photo portfolio — poor fit for photo-enhancement/marketing-site ICP."
"דן סיגלוביץ תיווך נדל""ן (Tiberias)","No discoverable Facebook page, follower count, or independent activity evidence beyond a bare license registry entry — unverifiable marketing/business activity."
"תיווך טבריה (generic FB page, id 100030759196910)",Page is labeled 'Digital creator' with no identifiable owner/agent name or confirmable business registration — unverifiable authority and legitimacy.
"תיווך נדל""ן בית באילת (Bait Eilat)","Very small Facebook following (140 likes, 184 discussing) — insufficient marketing/brand and activity evidence to clear the floor."
תיווך קידר (Eilat),No dedicated Facebook page found despite targeted search — cannot verify marketing presence or activity level; directory-only footprint.
"Daniel Real Estate / דניאל נדל""ן (Tiberias)",Only presence found was an easy.co.il directory listing (not an independent site) with no Facebook page or activity evidence located — unverifiable business activity.
"101 נכסים (Tomer Abergil), ירושלים","Has a real, modern, professional dedicated website (101nehasim.co.il) — Good website, disqualifies under website-need criteria."
"יוריקה נכסים / Uricka Properties, ירושלים","Has a dedicated professional website (uricka.com) serving the Nachlaot area for 20+ years — Good website, reject."
"מרכז הנכסים — סניף קטמון, ירושלים","Part of a technologically advanced multi-branch franchise network with its own dedicated modern website (merkaz-h.co.il/office/katamon) — Good website via network, reject."
אנגלו סכסון ירושלים (Anglo Saxon Realty Jerusalem),"Large, long-established international franchise (~25 consultants) with an established corporate web presence — not an under-marketed independent prospect."
"קשת נדל""ן (Keshet Nadlan), ירושלים","Confirmed to be a boutique urban-renewal (pinuy-binuy) project developer advancing ~5,000 housing units, not a residential listings brokerage — poor fit for photo-enhancement-of-listings pitch, does not match ICP business type."
"מנחם אוריאל, ירושלים","Cross-referenced search shows he is affiliated with / operates under Oren Cohen Prime Real Estate Group, a larger multi-agent firm — insufficient evidence of independent decision authority (anti-ICP: franchise/group-affiliated agent)."
"יוזמה שיווק וניהול נדל""ן, ירושלים","Active office with directory presence (4.5★/8 reviews) but no owner name could be verified after extensive research — insufficient public information to confirm decision authority, per anti-ICP guidance."
"בן זמרה (סוניה ואילן), ירושלים","Has a real dedicated professional website (ben-zimra.com) — Good website, reject."
"פנינה נבנצל, ירושלים","Found to be affiliated with RE/MAX Momentum Israel (a post referenced her closing deals ""for RE/MAX Momentum"") — franchise agent likely covered by the RE/MAX corporate web presence rather than an independent, under-marketed owner."
"אליענה שיר, מודיעין","RE/MAX Gold Modiin franchise agent with an active corporate agent-profile page (remax-gold.co.il) — Good website via franchise, reject."
"ענת סביר, מודיעין (Anat Savir)","RE/MAX Gold Modiin franchise agent — franchise brand carries its own professional website presence, reject."
